Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Months_since_last_delinquent,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens,ID,loan_default
177430,Short Term,712,689548,10+ years,Rent,Debt Consolidation,14193,23.1,NA,10,1,129618,208450,1,0,540650,0
99999999,Short Term,747,2788725,3 years,Home Mortgage,Debt Consolidation,43922.49,20.4,NA,12,0,488889,975986,0,0,540670,0
148610,Short Term,,,5 years,Home Mortgage,Debt Consolidation,9273.52,12.8,58,7,0,129865,154066,0,0,540680,1
151910,Short Term,740,874399,n/a,Home Mortgage,Debt Consolidation,6951.72,38.6,22,7,0,50977,173602,0,0,540700,0
528066,Long Term,,,10+ years,Rent,Debt Consolidation,27535.56,19.8,NA,20,0,466051,822624,0,0,540720,1
378642,Short Term,694,1711976,10+ years,Rent,Debt Consolidation,26678.28,16.7,69,10,0,158308,529782,0,0,540760,0
391600,Short Term,697,870903,5 years,Rent,Debt Consolidation,18216.44,10.9,NA,8,0,201647,284724,0,0,540780,0
87406,Short Term,718,696863,7 years,Rent,other,9872.21,7.8,NA,7,0,187169,652762,0,0,540860,0
525206,Short Term,,,5 years,Rent,Debt Consolidation,25892.06,14,NA,19,0,694241,1794342,0,0,540920,0
357632,Long Term,,,5 years,Rent,Debt Consolidation,9780.82,14.9,NA,11,0,199424,312906,0,0,540940,0
233288,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,25313.32,37.6,39,11,0,349353,563398,0,0,540960,0
328790,Short Term,708,1256850,2 years,Rent,Debt Consolidation,17072.26,31.3,69,13,1,220761,334136,1,0,540970,0
265100,Short Term,,,2 years,Own Home,Debt Consolidation,11302.91,10.8,32,17,0,227753,598004,0,0,540990,0
60258,Short Term,716,481897,2 years,Rent,Debt Consolidation,9196,16,NA,10,0,71668,176572,0,0,541010,0
155672,Short Term,736,1728468,4 years,Home Mortgage,Debt Consolidation,14979.98,16.5,71,9,0,157909,217932,0,0,541020,0
529958,Long Term,724,1191889,7 years,Rent,Debt Consolidation,14004.9,10.3,NA,6,0,353077,654104,0,0,541060,1
292996,Short Term,,,2 years,Own Home,Debt Consolidation,15485,23.6,73,9,0,290358,518034,0,0,541080,1
99999999,Short Term,721,1694268,< 1 year,Home Mortgage,Debt Consolidation,19484.12,18.3,5,12,0,233225,579502,0,0,541130,0
329142,Short Term,713,1004378,10+ years,Home Mortgage,Debt Consolidation,27536.7,13,60,13,0,171798,263494,0,0,541150,0
338954,Short Term,725,675526,5 years,Rent,Debt Consolidation,12891.12,16.8,NA,7,0,122512,193270,0,0,541160,1
529672,Long Term,720,1042397,1 year,Home Mortgage,Debt Consolidation,11205.82,14.9,NA,5,0,152988,194018,0,0,541220,1
99999999,Short Term,748,1526384,2 years,Home Mortgage,Home Improvements,13635.73,15.2,NA,14,0,783522,1292390,0,0,541230,0
770462,Long Term,685,13866314,10+ years,Home Mortgage,Home Improvements,137507.56,28.3,9,11,0,1765043,2335696,0,0,541260,0
297924,Short Term,699,718466,10+ years,Home Mortgage,Debt Consolidation,12992.2,18.3,NA,14,0,181203,258720,0,0,541280,1
393690,Long Term,677,771628,2 years,Rent,Debt Consolidation,21734.29,13.7,NA,20,0,254828,689392,0,0,541290,1
201894,Long Term,700,2557400,6 years,Home Mortgage,Medical Bills,21269.17,30,2,9,0,300067,904816,0,0,541350,0
99999999,Short Term,730,1585474,10+ years,Rent,Debt Consolidation,3276.55,26.2,43,4,0,53105,61204,0,0,541370,0
238656,Short Term,726,525597,10+ years,Home Mortgage,Debt Consolidation,7402.21,15,NA,16,1,75943,213444,1,0,541400,1
301114,Short Term,703,6390023,10+ years,Rent,other,31790.42,9.1,NA,9,0,178258,324016,0,0,541410,0
218900,Short Term,747,1020870,5 years,Home Mortgage,Debt Consolidation,7035.51,19,NA,12,0,189297,579854,0,0,541530,1
335852,Short Term,710,1469555,6 years,Home Mortgage,Debt Consolidation,22778.15,9.1,NA,12,0,438482,584276,0,0,541570,0
243914,Short Term,727,771134,10+ years,Rent,Debt Consolidation,21656.01,15,NA,16,1,186789,318032,1,0,541620,0
99999999,Short Term,746,1985291,< 1 year,Rent,Debt Consolidation,7626.79,14.7,NA,5,0,196441,299684,0,0,541650,0
55924,Short Term,692,631598,6 years,Rent,other,17210.96,33.4,NA,11,0,235752,359194,0,0,541700,0
292446,Short Term,718,2137025,10+ years,Home Mortgage,Debt Consolidation,37753.95,22.2,NA,11,0,937004,1109372,0,0,541720,0
85888,Short Term,,,3 years,Rent,Debt Consolidation,3356.54,4.8,NA,6,0,130606,225368,0,0,541740,0
540430,Long Term,716,1306858,8 years,Home Mortgage,Debt Consolidation,27988.52,16.5,NA,15,0,447165,825792,0,0,541750,1
457006,Short Term,,,n/a,Home Mortgage,Debt Consolidation,20580.23,28.6,NA,9,0,465177,585442,0,0,541760,0
210034,Short Term,696,691049,10+ years,Home Mortgage,Debt Consolidation,6507.31,15.3,17,7,0,91390,135674,0,0,541790,1
70488,Short Term,735,1407976,1 year,Rent,other,12202.37,15.6,NA,10,0,200754,279730,0,0,541830,0
99999999,Long Term,727,1350748,10+ years,Rent,Debt Consolidation,13845.11,21.5,NA,10,0,190798,440088,0,0,541900,0
667062,Short Term,702,1881931,< 1 year,Rent,Debt Consolidation,25092.35,17.7,21,14,0,190076,378158,0,0,541920,0
99999999,Short Term,733,1140000,2 years,Rent,Debt Consolidation,9481,10,NA,7,0,271415,433466,0,0,541940,0
116028,Short Term,711,652574,5 years,Home Mortgage,Debt Consolidation,9298.98,6,NA,9,0,59299,334884,0,0,541970,0
579370,Short Term,,,6 years,Own Home,Home Improvements,23883.19,21.4,7,21,0,390070,1176230,0,0,542000,0
259204,Short Term,744,1622923,8 years,Home Mortgage,Debt Consolidation,22585.49,16.3,NA,11,0,509960,958584,0,0,542010,0
220726,Long Term,725,581419,2 years,Home Mortgage,Debt Consolidation,10901.63,14.6,30,9,0,205105,665192,0,0,542020,0
340186,Short Term,746,1139088,10+ years,Home Mortgage,Debt Consolidation,30755.3,17,NA,16,1,499016,941050,1,0,542040,0
21890,Short Term,721,1058471,1 year,Rent,Take a Trip,10761.03,10,NA,5,0,519821,683210,0,0,542110,0
196856,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,24279.91,13,NA,6,0,185573,261734,0,0,542140,0
443960,Long Term,660,2204665,7 years,Rent,Debt Consolidation,7422.35,20.5,58,12,1,239419,433180,1,0,542150,0
242968,Long Term,700,1517606,4 years,Home Mortgage,Home Improvements,20829.32,20.8,54,15,0,356934,986392,0,0,542160,0
99999999,Short Term,741,2057187,8 years,Rent,Debt Consolidation,13714.58,14,52,5,0,262295,376816,0,0,542170,0
261866,Long Term,694,1206158,7 years,Rent,other,11388.22,16.8,NA,6,0,127813,229086,0,0,542250,0
174218,Short Term,739,611268,10+ years,Rent,Debt Consolidation,11002.71,21.6,70,8,0,128820,284108,0,0,542300,1
658878,Long Term,708,1289796,10+ years,Own Home,Debt Consolidation,26548.51,20.5,NA,11,0,640433,845548,0,0,542330,0
98648,Long Term,692,2745367,10+ years,Home Mortgage,Buy a Car,25211.48,28.7,5,15,0,440420,642246,0,0,542350,0
271766,Short Term,740,750139,2 years,Home Mortgage,Debt Consolidation,15365.3,22.9,77,10,1,194370,252582,1,0,542370,1
215754,Long Term,726,1211174,10+ years,Home Mortgage,Other,9840.86,19.4,27,5,0,139821,252582,0,0,542380,0
551980,Short Term,681,2860260,< 1 year,Home Mortgage,Business Loan,16255.83,21.3,24,5,0,0,0,0,0,542420,0
457050,Long Term,722,1315769,n/a,Rent,Medical Bills,25438.15,39.1,47,32,0,580203,1924956,0,0,542450,0
263252,Long Term,722,885761,6 years,Own Home,Debt Consolidation,12053.79,9.9,NA,17,1,99750,243694,1,0,542480,0
131934,Short Term,738,1367316,10+ years,Own Home,Debt Consolidation,8830.63,21.8,4,13,0,109649,537988,0,0,542510,0
99999999,Short Term,735,845424,6 years,Home Mortgage,Debt Consolidation,20712.85,11.6,NA,16,0,439071,628430,0,0,542540,0
431860,Short Term,,,1 year,Own Home,Debt Consolidation,9121.52,27.3,NA,10,1,366605,747362,1,0,542550,0
130592,Short Term,678,488718,< 1 year,Rent,Other,9774.36,15.9,38,7,0,272441,326546,0,0,542590,0
737572,Short Term,706,2906430,< 1 year,Home Mortgage,Debt Consolidation,12497.63,12.6,60,7,0,191919,428186,0,0,542600,0
626098,Long Term,,,< 1 year,Home Mortgage,Home Improvements,28162.75,28.5,14,13,0,316141,802780,0,0,542610,0
22198,Short Term,743,1611010,< 1 year,Home Mortgage,Home Improvements,12230.11,32,11,5,0,6707,22198,0,0,542660,0
775016,Short Term,730,3250995,10+ years,Home Mortgage,Debt Consolidation,38470.25,16.7,7,13,0,383211,528858,0,0,542670,1
210738,Short Term,708,541367,2 years,Own Home,Debt Consolidation,11503.93,12.9,NA,13,0,156655,196746,0,0,542720,0
356422,Short Term,723,1303932,9 years,Rent,Debt Consolidation,15321.22,21.1,NA,10,0,323323,446226,0,0,542760,0
138380,Short Term,742,971014,10+ years,Home Mortgage,Debt Consolidation,12703.97,15.2,NA,10,1,43681,163130,1,0,542780,0
591338,Long Term,638,1021383,10+ years,Rent,Debt Consolidation,30556.37,16.7,52,9,0,408576,483736,0,0,542810,0
524436,Long Term,652,1638693,10+ years,Home Mortgage,Debt Consolidation,36324.58,19.3,28,15,0,684646,886732,0,0,542820,0
283734,Short Term,740,561773,3 years,Rent,Debt Consolidation,4456.64,6.6,NA,11,0,214643,733172,0,0,542840,0
91366,Short Term,715,382622,1 year,Rent,other,5675.68,8.7,NA,12,0,81282,268158,0,0,542860,0
108262,Short Term,742,1028394,10+ years,Own Home,Debt Consolidation,10541.01,20.5,3,11,0,6137,197252,0,0,542880,0
642136,Short Term,696,1113305,10+ years,Own Home,Debt Consolidation,23286.78,23.7,40,29,0,626354,1859638,0,0,542900,0
131956,Short Term,,,5 years,Home Mortgage,other,54291.93,15.7,10,26,0,60819,230890,0,0,542920,1
55220,Short Term,739,1011028,5 years,Rent,other,11289.8,10,23,6,0,112233,236258,0,0,542940,0
261316,Long Term,637,1090752,10+ years,Home Mortgage,Debt Consolidation,15270.68,23,13,16,0,156408,187286,0,0,542960,1
156288,Short Term,708,1110436,6 years,Rent,Debt Consolidation,16564.01,22.5,35,15,0,158688,292578,0,0,543080,0
373516,Short Term,735,773566,n/a,Home Mortgage,Debt Consolidation,11990.14,28.5,NA,7,0,229121,427900,0,0,543090,1
267740,Short Term,720,1214005,10+ years,Home Mortgage,Debt Consolidation,19423.89,28.6,15,23,0,211166,305646,0,0,543100,0
501270,Long Term,721,1252043,10+ years,Home Mortgage,Debt Consolidation,15859.11,20.7,7,11,0,165414,218636,0,0,543130,0
86570,Short Term,740,560709,2 years,Rent,Debt Consolidation,9391.89,16,42,10,0,273296,432894,0,0,543160,0
53108,Short Term,715,630705,7 years,Rent,major_purchase,8934.94,10.3,19,17,0,240616,436018,0,0,543210,0
333894,Long Term,689,1336080,10+ years,Rent,Debt Consolidation,21377.28,15.6,19,7,0,161576,198198,0,0,543220,0
305668,Short Term,,,10+ years,Home Mortgage,Home Improvements,65444.55,27,3,21,1,1855141,4000128,0,1,543260,0
389818,Short Term,,,10+ years,Own Home,Debt Consolidation,12547.03,20,81,19,0,318649,1008106,0,0,543290,0
275000,Long Term,726,1300645,10+ years,Home Mortgage,Debt Consolidation,23194.82,14.9,NA,13,0,342703,620048,0,0,543360,0
215028,Short Term,744,1021383,2 years,Home Mortgage,Debt Consolidation,4289.82,15.7,NA,7,0,186143,389070,0,0,543390,0
172194,Short Term,,,5 years,Rent,Debt Consolidation,13279.86,10.5,NA,8,0,152722,187726,0,0,543420,0
433796,Short Term,7400,915781,8 years,Home Mortgage,Debt Consolidation,10531.32,16,NA,13,0,381273,832986,0,0,543440,1
133408,Short Term,741,452333,< 1 year,Rent,Debt Consolidation,5823.88,17.1,NA,5,1,216752,304590,1,0,543480,0
442794,Short Term,738,1425646,9 years,Rent,Debt Consolidation,35997.78,18.9,NA,15,0,512981,1207272,0,0,543490,0
110946,Short Term,731,936377,< 1 year,Home Mortgage,Debt Consolidation,12641.27,10.3,NA,12,0,270066,377212,0,0,543530,0
285406,Short Term,724,1573694,8 years,Home Mortgage,Debt Consolidation,24130,20,62,9,0,240464,680790,0,0,543570,0
332222,Long Term,691,869193,2 years,Home Mortgage,Home Improvements,13697.29,36.3,11,20,0,36689,987910,0,0,543670,0
132440,Short Term,,,9 years,Home Mortgage,Debt Consolidation,13001.51,20,61,10,0,145483,1046298,0,0,543700,0
265210,Short Term,750,1389565,2 years,Rent,Debt Consolidation,2686.6,10.8,NA,5,0,97071,838860,0,0,543750,0
333300,Short Term,685,1312710,7 years,Rent,Debt Consolidation,37631.02,33.5,NA,27,0,120707,234520,0,0,543770,1
593538,Long Term,707,862562,7 years,Own Home,Debt Consolidation,16057.85,22.1,NA,12,0,225492,839542,0,0,543780,0
109648,Short Term,711,653695,1 year,Rent,Home Improvements,1078.63,10.3,9,6,0,12027,122232,0,0,543790,0
172348,Short Term,717,930240,10+ years,Home Mortgage,Debt Consolidation,14806.32,23.1,NA,12,0,267045,387970,0,0,543810,0
332816,Short Term,709,996398,3 years,Rent,other,5779.04,8.9,NA,10,0,337611,1464100,0,0,543820,0
70356,Short Term,743,897408,< 1 year,Rent,Debt Consolidation,7627.93,10.2,33,7,0,13699,60566,0,0,543830,1
99999999,Short Term,723,1936860,3 years,Home Mortgage,Debt Consolidation,35509.1,12.8,NA,14,0,655291,872146,0,0,543840,0
432454,Long Term,724,1143306,10+ years,Home Mortgage,Debt Consolidation,21246.37,27.9,38,19,0,231135,604120,0,0,543880,0
157872,Short Term,,,3 years,Rent,Debt Consolidation,16422.65,12.1,41,6,1,66443,133826,1,0,543930,1
99999999,Short Term,734,890378,2 years,Rent,Debt Consolidation,2211.03,12.8,NA,5,3,70642,335214,1,2,543960,0
177166,Short Term,713,1415272,10+ years,Rent,Debt Consolidation,15214.25,29.5,45,12,0,172102,325622,0,0,543990,0
536580,Short Term,739,1890709,10+ years,Home Mortgage,Debt Consolidation,24500.5,39.1,40,21,0,1155941,5418908,0,0,544000,0
79662,Short Term,645,2372397,10+ years,Rent,Debt Consolidation,42703.07,20.6,79,8,0,276944,411114,0,0,544090,0
188694,Short Term,741,1054519,7 years,Rent,Debt Consolidation,15729.91,10,16,15,0,277419,766612,0,0,544190,0
460944,Long Term,632,1384245,< 1 year,Home Mortgage,Debt Consolidation,25262.59,25,22,8,0,169461,210100,0,0,544200,1
776710,Short Term,722,1744048,5 years,Own Home,Debt Consolidation,14126.69,16,67,7,0,150195,195206,0,0,544210,0
329648,Short Term,,,9 years,Own Home,Debt Consolidation,14677.12,24,45,12,0,348460,956098,0,0,544240,0
310332,Long Term,719,1531552,10+ years,Own Home,Debt Consolidation,20931.16,13.7,68,15,0,1162230,4672734,0,0,544280,0
267410,Short Term,740,971869,< 1 year,Rent,Debt Consolidation,16359.95,13.1,NA,13,0,302328,829510,0,0,544300,0
179652,Short Term,,,7 years,Own Home,Debt Consolidation,15921.62,8.1,NA,8,0,152627,410014,0,0,544320,0
222772,Short Term,723,865773,3 years,Rent,Debt Consolidation,11832.25,10.7,NA,9,0,194959,467346,0,0,544330,0
246202,Long Term,729,1026836,6 years,Rent,Debt Consolidation,24644.14,10.5,NA,9,0,7049,204138,0,0,544350,0
263956,Long Term,,,1 year,Rent,Debt Consolidation,10732.91,12.9,NA,8,0,242915,389576,0,0,544380,1
543576,Long Term,,,10+ years,Rent,Debt Consolidation,8861.03,20,NA,4,0,386327,508332,0,0,544400,1
199474,Short Term,,,4 years,Own Home,Debt Consolidation,13809.96,16.9,40,8,0,216999,328020,0,0,544450,1
459316,Short Term,723,1133388,10+ years,Home Mortgage,Debt Consolidation,20023.15,15,NA,7,0,310137,502942,0,0,544480,0
523996,Short Term,,,8 years,Home Mortgage,Debt Consolidation,19563.35,17,NA,12,0,492556,666292,0,0,544500,0
25850,Short Term,,,< 1 year,Rent,Medical Bills,7404.68,14.9,10,12,0,11970,43142,0,0,544540,0
335060,Short Term,723,1523971,3 years,Home Mortgage,Debt Consolidation,15620.66,31.3,21,16,0,280212,793298,0,0,544570,0
135014,Short Term,731,932881,< 1 year,Own Home,Debt Consolidation,14008.89,15.7,32,12,0,81225,130438,0,0,544580,0
549780,Long Term,647,1766297,10+ years,Home Mortgage,Debt Consolidation,22667.38,32.8,27,16,0,533026,1062292,0,0,544590,0
337106,Short Term,745,1422644,3 years,Rent,Debt Consolidation,15056.36,21,NA,8,0,42750,405790,0,0,544600,0
652278,Long Term,692,1877770,6 years,Home Mortgage,Home Improvements,23472.22,21.8,NA,9,0,416062,593296,0,0,544630,0
219956,Short Term,,,< 1 year,Rent,Debt Consolidation,49728.89,25.3,NA,13,3,129181,293876,0,3,544690,1
542366,Short Term,,,n/a,Home Mortgage,Debt Consolidation,13992.55,42.3,NA,11,2,643226,1014684,0,0,544700,0
259490,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,18916.4,27.8,NA,20,1,319428,744172,1,0,544710,0
544236,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,17613.19,19.7,21,13,0,263910,791626,0,0,544720,0
195470,Short Term,746,712766,2 years,Rent,Debt Consolidation,13720.66,9.5,NA,17,0,41781,913000,0,0,544760,0
532862,Long Term,,,2 years,Rent,Debt Consolidation,20804.62,17,NA,18,1,470383,965690,1,0,544770,0
404756,Short Term,731,1281721,< 1 year,Own Home,Debt Consolidation,13746.31,21.9,NA,10,0,270674,730576,0,0,544780,1
243298,Long Term,710,634258,4 years,Rent,Debt Consolidation,14165.26,19.9,NA,11,0,190969,439582,0,0,544790,0
560230,Short Term,714,3483612,10+ years,Home Mortgage,Debt Consolidation,34836.12,29.6,36,16,0,1668827,2768370,0,0,544810,0
131582,Short Term,743,1174352,6 years,Rent,Debt Consolidation,22498.66,18.1,NA,12,0,330201,568106,0,0,544820,0
94666,Short Term,,,8 years,Rent,Debt Consolidation,45218.29,26,66,18,0,215156,268180,0,0,544840,1
110792,Short Term,,,4 years,Own Home,Debt Consolidation,23320.6,14.3,33,14,1,68666,345730,1,0,544850,0
551870,Long Term,678,1221092,5 years,Home Mortgage,Debt Consolidation,22895.38,16,NA,20,0,474183,814594,0,0,544910,1
99999999,Short Term,738,873563,< 1 year,Rent,major_purchase,582.35,19.6,NA,3,0,2907,33726,0,0,544970,0
788260,Short Term,,,3 years,Home Mortgage,Debt Consolidation,7039.12,10.3,29,10,3,52896,352044,0,3,545030,1
100430,Short Term,,,2 years,Own Home,Other,2545.62,14.5,58,7,1,50217,533346,1,0,545040,0
370788,Long Term,7200,802940,1 year,Rent,Business Loan,4355.94,22.6,5,8,0,60534,150392,0,0,545070,1
99999999,Short Term,701,1567975,10+ years,Home Mortgage,Debt Consolidation,18293.01,15.6,36,8,0,26961,205370,0,0,545100,0
224906,Short Term,721,625689,10+ years,Home Mortgage,Debt Consolidation,8342.52,10.7,NA,14,0,216106,477554,0,0,545120,0
67496,Short Term,701,1482646,8 years,Rent,Other,13343.7,13.2,NA,10,1,46740,96646,1,0,545140,0
352660,Long Term,,,10+ years,Rent,Debt Consolidation,21508.57,18.3,35,10,0,282796,451660,0,0,545160,1
106040,Short Term,696,496033,1 year,Rent,Debt Consolidation,7523.05,7.4,NA,16,0,136420,609906,0,0,545180,0
674960,Long Term,,,10+ years,Rent,Debt Consolidation,24552.37,15.8,NA,17,0,503044,1335950,0,0,545200,1
111914,Short Term,748,649439,10+ years,Home Mortgage,Debt Consolidation,12620.94,29.3,NA,19,0,200773,1905464,0,0,545210,0
60500,Short Term,724,759924,8 years,Rent,Debt Consolidation,4274.62,16.2,47,6,0,30134,59444,0,0,545220,1
472098,Long Term,722,2223912,4 years,Rent,Debt Consolidation,31505.42,30.8,40,18,0,514178,1102552,0,0,545260,0
772398,Long Term,661,3335317,10+ years,Home Mortgage,Home Improvements,33909.11,18.6,1,11,0,1265457,2861848,0,0,545280,0
176836,Short Term,661,1011826,10+ years,Rent,other,13406.78,17.9,NA,11,0,278502,506242,0,0,545300,0
201674,Long Term,734,870903,5 years,Rent,Debt Consolidation,6096.34,15.7,28,8,0,167314,334004,0,0,545310,1
523798,Long Term,724,1024252,10+ years,Home Mortgage,Debt Consolidation,20997.28,21.6,23,14,0,583262,841038,0,0,545360,0
222508,Short Term,,,10+ years,Rent,Debt Consolidation,11651.56,19.7,71,10,1,138795,289058,1,0,545510,0
525976,Long Term,697,1404917,10+ years,Rent,Debt Consolidation,24351.73,11.3,72,6,1,247019,409794,1,0,545530,1
346082,Short Term,,,6 years,Rent,Debt Consolidation,25032.31,29.9,NA,9,0,790780,960806,0,0,545550,0
99999999,Short Term,732,389044,2 years,Own Home,Debt Consolidation,1847.94,7.8,NA,6,0,70718,182358,0,0,545580,0
337458,Short Term,737,1224056,3 years,Rent,Debt Consolidation,27949.19,11.8,NA,7,0,1023815,1493030,0,0,545630,0
331562,Long Term,654,1178760,8 years,Rent,Debt Consolidation,15029.19,18.7,NA,6,0,136458,176924,0,0,545640,0
217316,Short Term,7370,609976,8 years,Rent,Debt Consolidation,10725.31,9.4,50,12,0,107882,511940,0,0,545740,1
142736,Short Term,7070,436221,1 year,Rent,Debt Consolidation,12686.68,19.2,NA,6,1,207993,252450,1,0,545870,1
199408,Short Term,722,662131,4 years,Rent,other,16498.08,20.6,NA,9,0,138263,237864,0,0,545880,1
287430,Short Term,692,1297624,5 years,Home Mortgage,Debt Consolidation,31683.83,21.7,14,16,1,217018,330638,1,0,545900,0
221540,Short Term,741,822719,6 years,Rent,Debt Consolidation,13231.98,10.8,NA,9,0,470269,782364,0,0,545920,0
467500,Long Term,6970,931000,10+ years,Home Mortgage,Debt Consolidation,16137.27,12.5,NA,13,0,218766,711546,0,0,545930,1
99999999,Short Term,731,726845,5 years,Home Mortgage,Debt Consolidation,14779.15,18.6,NA,10,0,161082,263450,0,0,545960,0
557590,Short Term,738,3081952,4 years,Home Mortgage,Debt Consolidation,26196.63,20.7,NA,19,0,734635,2035022,0,0,545980,0
245168,Long Term,709,1162800,3 years,Rent,Debt Consolidation,5426.4,8.7,NA,8,0,102106,150436,0,0,546040,0
107844,Short Term,,,5 years,Rent,wedding,11901.6,12.5,36,10,0,120270,399036,0,0,546060,0
378686,Long Term,703,780444,4 years,Own Home,Debt Consolidation,19511.1,12.2,18,11,0,266209,525096,0,0,546130,1
435556,Long Term,685,945725,10+ years,Rent,Debt Consolidation,20648.25,10.3,NA,15,0,186789,443190,0,0,546160,1
654434,Long Term,604,1259206,2 years,Rent,Debt Consolidation,34942.9,9.1,50,11,0,97717,150260,0,0,546180,1
99999999,Short Term,737,1918430,10+ years,Home Mortgage,Debt Consolidation,17905.22,15.1,NA,7,0,597930,768438,0,0,546220,0
99999999,Long Term,706,1248718,5 years,Rent,Debt Consolidation,20707.72,12.7,NA,9,0,301834,708928,0,0,546240,0
390170,Short Term,724,851789,10+ years,Home Mortgage,Debt Consolidation,3279.4,27.7,12,9,0,105412,266508,0,0,546280,0
210738,Short Term,708,541367,2 years,Own Home,Debt Consolidation,11503.93,12.9,NA,13,0,156655,196746,0,0,546300,0
539770,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,13639.91,26.4,12,13,0,146680,421432,0,0,546310,0
99999999,Short Term,744,1148816,6 years,Home Mortgage,Debt Consolidation,16466.16,26.6,NA,10,0,608171,898216,0,0,546340,0
422510,Long Term,,,10+ years,Home Mortgage,other,2347.83,18.1,10,6,0,34903,222002,0,0,546380,0
348524,Short Term,7310,1918810,7 years,Rent,Other,17269.29,16.7,23,15,0,292619,727100,0,0,546420,1
155628,Short Term,749,2279772,2 years,Rent,Debt Consolidation,10790.86,8.3,NA,13,0,138149,993586,0,0,546440,0
399872,Short Term,746,2302344,1 year,Home Mortgage,Debt Consolidation,4163.47,16.1,46,4,0,111796,200068,0,0,546560,0
439780,Long Term,696,1139430,5 years,Home Mortgage,Debt Consolidation,27441.32,20.8,NA,15,0,329080,602910,0,0,546570,0
219780,Short Term,741,2752245,1 year,Rent,Debt Consolidation,34678.23,15.6,NA,5,0,232066,325292,0,0,546580,0
529628,Short Term,736,1715301,7 years,Home Mortgage,Debt Consolidation,16867.06,22.5,21,10,0,554553,942898,0,0,546600,0
99999999,Short Term,739,2195051,10+ years,Home Mortgage,Debt Consolidation,25791.93,16.6,NA,9,0,329593,409046,0,0,546620,0
217932,Short Term,7310,903431,1 year,Rent,Debt Consolidation,15057.12,11.2,NA,10,0,421515,671352,0,0,546660,1
331452,Long Term,722,2290032,4 years,Rent,Other,19465.31,23,13,18,0,200051,559504,0,0,546670,1
357346,Short Term,,,10+ years,Rent,Debt Consolidation,20831.98,18.6,11,19,0,293132,728376,0,0,546720,1
268928,Short Term,707,1838763,9 years,Rent,Buy House,21299,19.9,66,9,1,153216,335984,1,0,546730,1
780010,Short Term,686,4195846,10+ years,Home Mortgage,Debt Consolidation,52448.17,37,NA,16,0,6205229,8073032,0,0,546750,0
188540,Short Term,734,670453,6 years,Home Mortgage,Debt Consolidation,7430.9,12.9,5,12,0,88407,297572,0,0,546780,0
379984,Long Term,,,9 years,Rent,Debt Consolidation,29695.86,15,NA,12,0,149587,346412,0,0,546790,1
43582,Short Term,710,451668,2 years,Rent,Debt Consolidation,2107.86,4.3,3,4,0,68191,304810,0,0,546820,0
337788,Long Term,714,967252,6 years,Home Mortgage,Debt Consolidation,13219.25,36,NA,7,1,13889,178816,1,0,546830,0
530684,Short Term,7220,916655,4 years,Rent,Debt Consolidation,13215.07,9.9,NA,15,0,110884,910514,0,0,546860,1
315238,Short Term,,,2 years,Home Mortgage,Debt Consolidation,23724.73,21,15,17,0,192204,591910,0,0,546890,0
327602,Short Term,747,1358006,10+ years,Own Home,Debt Consolidation,5205.81,15.6,NA,10,2,187055,734184,1,0,546930,0
756910,Long Term,694,1531514,10+ years,Home Mortgage,Debt Consolidation,24887.15,17.5,40,7,0,164882,436876,0,0,546950,0
590568,Long Term,,,10+ years,Own Home,Debt Consolidation,12206.93,22.6,NA,12,0,517142,727562,0,0,547000,0
215424,Long Term,,,6 years,Home Mortgage,Debt Consolidation,6104.13,18.5,74,13,0,125096,366696,0,0,547030,1
371756,Short Term,719,1359792,1 year,Own Home,Debt Consolidation,24702.85,17.8,17,18,0,303164,540034,0,0,547050,0
457358,Long Term,671,1098276,9 years,Rent,Debt Consolidation,19219.64,11.2,NA,10,0,501828,640662,0,0,547070,1
218680,Short Term,743,1133160,9 years,Home Mortgage,Debt Consolidation,13503.49,28.4,67,8,1,164692,359788,1,0,547110,0
108350,Short Term,737,449122,6 years,Rent,Debt Consolidation,9843.14,14,NA,4,0,81719,103994,0,0,547130,0
66132,Short Term,745,1066014,10+ years,Home Mortgage,Home Improvements,18273.25,27.8,NA,10,0,158156,202774,0,0,547190,0
238942,Short Term,748,1407045,< 1 year,Home Mortgage,Debt Consolidation,33300.16,16.5,NA,14,0,350531,838574,0,0,547200,0
99999999,Long Term,726,608608,4 years,Rent,Debt Consolidation,14048.79,9.1,NA,12,0,97774,362868,0,0,547210,0
216304,Short Term,739,1587868,3 years,Home Mortgage,Debt Consolidation,7608.55,14.7,NA,10,0,155743,335192,0,0,547230,0
162338,Short Term,,,4 years,Home Mortgage,Debt Consolidation,13938.21,11.1,NA,8,0,174154,216348,0,0,547260,1
217052,Short Term,,,7 years,Home Mortgage,Debt Consolidation,21432.19,22.6,NA,6,0,154318,195272,0,0,547270,0
99999999,Short Term,729,1700082,3 years,Home Mortgage,Debt Consolidation,43635.4,25.5,15,18,0,356649,862158,0,0,547370,0
